"year","recruits","R.no.devs","logR.dev","SR.std.resid","SSB","SPR","Rs","SSB_1","HadSSB_GoM","MackSSB","HadSSB_GoM_1","MackSSB_1","ChlA","PPD","Jelly.Abun","Sm.cal.abun","Sm.cal.abun_1","ZooAbun","ZooAbun_1","Cfin.C5","cfinC5_1","BT","BT_1","OISST","SST_1","HW","GSI","WSW"
2006,4575145,3041675,0.4082298,0.490334,205933.4,0.1617166,2.84239935720976,266665.3,10550,129322,10905,149476,0.871969331198705,0.674006886287815,17.1697763550607,20.6106397469315,19.4758332553893,21.0442319283642,20.5592650753497,8.94744269072224,8.84075022096276,9.67113793377131,8.37634036083919,11.4944511702578,10.8695655794233,108.875224995426,-0.0588807418437636,69.6313
2007,1458040,3037564,-0.7339628,-0.8815791,199084.9,0.1839529,1.95729553148884,205933.4,9475,103390,10550,129322,0.840391730295911,0.617229792860736,17.2470789952261,20.0334906360535,20.6106397469315,20.8006475203347,21.0442319283642,9.71492610008504,8.94744269072224,8.53895759188957,9.67113793377131,10.9427614231092,11.4944511702578,43.826025328787,-0.819239905921597,53.5188
2008,2773981,3036944,-0.09056839,-0.1087837,200992.5,0.1785504,2.63430738462798,199084.9,8121,66969,9475,103390,0.83317603195901,0.611976273397584,16.3020282036538,20.5138562071984,20.0334906360535,21.2006363139811,20.8006475203347,9.50765845896545,9.71492610008504,9.05650848963364,8.53895759188957,11.1533997647557,10.9427614231092,45.4792300996318,0.23865519604612,51.3146
2009,10361470,3037121,1.227184,1.473998,138285.6,0.1764589,3.94258180370959,200992.5,7119,43732,8121,66969,0.864242065377394,0.616426651107364,16.571742682029,20.1104355846649,20.5138562071984,20.9667207586311,21.2006363139811,8.41477804840827,9.50765845896545,9.25077472971771,9.05650848963364,11.1991337771915,11.1533997647557,63.8543706386088,0.702377605630014,65.7792
2010,1995011,3028771,-0.4175076,-0.5014778,126016.1,0.1642347,2.66908373131858,138285.6,5928,24001,7119,43732,0.876010270966176,0.631348448135517,17.8916521057445,21.1977515861098,20.1104355846649,21.8609507424271,20.9667207586311,8.25538549069809,8.41477804840827,9.18640300721705,9.25077472971771,11.6668478988089,11.1991337771915,158.731629081958,0.335385871170468,80.8833
2011,1941889,3026175,-0.4436381,-0.5328637,189917.5,0.1487846,2.73500681308183,126016.1,5020,16899,5928,24001,0.969209253074797,0.691173114417018,16.8712090688857,20.9628157945392,21.1977515861098,21.6774220826679,21.8609507424271,9.18056322662,8.25538549069809,9.52572747101149,9.18640300721705,11.7049549233737,11.6668478988089,255.515027559735,-0.102563910119768,92.6224
2012,6115507,3036045,0.7002721,0.8411125,241246.9,0.1508338,3.47199318822177,189917.5,6215,16837,5020,16899,0.914879906396199,0.714199829582996,16.3621375256816,20.7244882703195,20.9628157945392,21.3407954312115,21.6774220826679,8.09518715501592,9.18056322662,10.6952535530655,9.52572747101149,12.9811023258301,11.7049549233737,549.51566445207,0.709842484035925,79.0156
2013,1370991,3040205,-0.7963913,-0.9565635,195522.1,0.1525817,1.73746822459374,241246.9,9963,18849,6215,16837,0.866412576552611,0.660248114984612,17.7844124425023,21.0754070206847,20.7244882703195,21.6292916395781,21.3407954312115,8.50126821015322,8.09518715501592,9.97529247838821,10.6952535530655,11.9812921106569,12.9811023258301,137.297751771032,0.735839169433019,88.8281
2014,1316059,3036605,-0.836098,-1.004256,292365.9,0.1717259,1.9067235271923,195522.1,15575,17007,9963,18849,0.876014427204456,0.617590095376365,17.4384030976632,20.6682469583177,21.0754070206847,21.3036778711969,21.6292916395781,8.34479004849634,8.50126821015322,10.0672898095925,9.97529247838821,11.8803269539196,11.9812921106569,189.987579220661,1.13806163841073,68.441
2015,704911.4,3042903,-1.462495,-1.756636,228604.3,0.1667766,0.880066021147968,292365.9,34226,24328,15575,17007,0.861891338965657,0.650227897162947,17.7123980515861,20.9887548033763,20.6682469583177,21.7998039717152,21.3036778711969,8.12520635263408,8.34479004849634,10.3123250343875,10.0672898095925,11.9471015459389,11.8803269539196,366.226770709262,1.31010143952915,87.4557
2016,343525.8,3039353,-2.180138,-2.618612,145351.5,0.143547,0.407269656679624,228604.3,58404,43519,34226,24328,0.871206479222025,0.666905912434578,17.171529520564,21.0041281580855,20.9887548033763,21.650379334607,21.7998039717152,8.51630949938089,8.12520635263408,10.5544743358287,10.3123250343875,12.4605991225384,11.9471015459389,360.691223582453,1.61835233389417,94.3438
2017,859747,3030069,-1.259703,-1.513057,105793.3,0.1587506,1.77748321305076,145351.5,65397,40190,58404,43519,0.897302555959411,0.655360258754627,17.4460939085355,20.6730587226844,21.0041281580855,21.5807339918883,21.650379334607,7.87544163962905,8.51630949938089,9.96482096934135,10.5544743358287,11.9355822832632,12.4605991225384,166.472898186574,1.15136700588829,99.2474
2018,692799.5,3020596,-1.472469,-1.768615,65529.42,0.1902731,1.87925344515214,105793.3,82763,47554,65397,40190,0.828690648454368,0.6347137921218,18.9061345488866,21.3590027875451,20.6730587226844,22.0012435572298,21.5807339918883,8.48895518246641,7.87544163962905,9.58095130525562,9.96482096934135,12.1119233518063,11.9355822832632,231.409254007035,1.24507307142625,97.6771
2019,1570989,2999424,-0.6467147,-0.7767836,53441.01,0.1950997,3.17696143421724,65529.42,NA,42862,82763,47554,0.870451623956011,0.642653958988196,16.8162150076046,21.1367868614885,21.3590027875451,21.954872251946,22.0012435572298,9.41766992169993,8.48895518246641,9.96918450092464,9.58095130525562,11.625694015562,12.1119233518063,136.901991314012,1.84005165513758,98.8906
2020,863793.1,2986980,-1.240685,-1.490215,51748.65,0.1856265,2.78275484378413,53441.01,NA,NA,NA,42862,0.845526308824182,0.642491169346043,NA,NA,NA,NA,21.954872251946,NA,NA,10.7352012524547,9.96918450092464,12.314270594153,11.625694015562,340.745198473115,1.32001174583042,NA
2021,2144506,2984785,-0.3306184,-0.3971132,56565.8,0.1593317,3.72426615695931,51748.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.7585439323582,10.7352012524547,12.6977702097983,12.314270594153,368.664828148628,NA,86.1615
2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.4422526339278,10.7585439323582,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
