"year","recruits","R.no.devs","logR.dev","SR.std.resid","SSB","SPR","Rs","SSB_1","HadSSB_GOM","HadSSB_GB","HadSSB_GOM_1","HadSSB_GB_1","Jelly.Abun","Sm.cal.abun","Sm.cal.abun_1","Lg.cal.abun","Lg.cal.abun_1","Lg.cal.abun_2","Lg.cal.abun_3","Cfin.C5","Cfin.C5_1","NAOIndex","NAOIndex_1","NAOIndex_2","NAOIndex_3","NAOIndex_4","NAOIndex_5","OISST","OISST_1","OISST_2","OISST_3","BT_1","BT_2","WSW"
1996,4650978,3041957,0.4245765,0.5099683,246096.3,0.1629544,2.83848455840231,272148.6,3350.583,34541.0538,2059.083,26026.506,18.5537192749418,22.5025083491623,20.3616956960576,20.2486975423431,20.5667851124451,21.0002457929961,20.4706939864701,8.86957338978159,8.64070517470767,-1.46,1.29,0.86,1.74,1.73,0.54,11.0373255013341,12.0997782568769,11.9174234842053,11.6234228281238,9.47422753505341,9.21444592687733,82.276
1997,4515168,3040509,0.3954175,0.4749448,500177,0.1960076,2.90947475171598,246096.3,5060.443,42032.376,3350.583,34541.0538,17.2281859620348,20.7366623907045,22.5025083491623,19.9479461270984,20.2486975423431,20.5667851124451,21.0002457929961,8.63895835330365,8.86957338978159,0.7,-1.46,1.29,0.86,1.74,1.73,11.6864023559134,11.0373255013341,12.0997782568769,11.9174234842053,8.21371886938576,9.47422753505341,74.5573
1998,2864188,3048207,-0.06226842,-0.07479199,380281.2,0.1621234,1.74507813260529,500177,6276.363,48725.0715,5060.443,42032.376,18.707972979387,21.0725100906475,20.7366623907045,20.2824277079215,19.9479461270984,20.2486975423431,20.5667851124451,7.36014586008643,8.63895835330365,-0.02,0.7,-1.46,1.29,0.86,1.74,11.791243341756,11.6864023559134,11.0373255013341,12.0997782568769,9.19581400703658,8.21371886938576,34.1354
1999,7535893,3045852,0.9058968,1.088093,304477.3,0.1478445,2.98652163858617,380281.2,6461.374,56610.461,6276.363,48725.0715,17.735505522903,20.5342380324997,21.0725100906475,20.3368782162422,20.2824277079215,19.9479461270984,20.2486975423431,9.54404372210106,7.36014586008643,0.64,-0.02,0.7,-1.46,1.29,0.86,12.6390557848887,11.791243341756,11.6864023559134,11.0373255013341,8.32842503945286,9.19581400703658,86.5469
2000,2209808,3043410,-0.3200731,-0.3844469,323453.3,0.1759988,1.98206437697863,304477.3,7914.234,69103.3678,6461.374,56610.461,18.9844977802568,20.9501567888265,20.5342380324997,20.4332590356569,20.3368782162422,20.2824277079215,19.9479461270984,7.82952137572693,9.54404372210106,1.59,0.64,-0.02,0.7,-1.46,1.29,12.3477689141798,12.6390557848887,11.791243341756,11.6864023559134,9.78190270557371,8.32842503945286,65.9896
2001,2103963,3044128,-0.3693919,-0.4436849,375948.2,0.1748467,1.87252324320944,323453.3,13056.85,81182.633,7914.234,69103.3678,16.3735339975637,20.8017991395078,20.9501567888265,20.6769650271262,20.4332590356569,20.3368782162422,20.2824277079215,9.94571655226646,7.82952137572693,-1.01,1.59,0.64,-0.02,0.7,-1.46,12.2319557407256,12.3477689141798,12.6390557848887,11.791243341756,9.49168555859137,9.78190270557371,68.967
2002,4495514,3045739,0.3893366,0.4676409,286552.3,0.1579626,2.48138392170347,375948.2,15778.6,90221.60507,13056.85,81182.633,16.4842759221676,20.5922475031435,20.8017991395078,20.1957485906323,20.6769650271262,20.4332590356569,20.3368782162422,9.479273994525,9.94571655226646,0.61,-1.01,1.59,0.64,-0.02,0.7,12.8083940314738,12.2319557407256,12.3477689141798,12.6390557848887,9.18840765972388,9.49168555859137,63.2266
2003,5469233,3042645,0.5864113,0.7043518,227018.1,0.1652241,2.94897259871799,286552.3,13623.81,104196.4393,15778.6,90221.60507,16.2924767549608,20.5613253190249,20.5922475031435,20.8877283938115,20.1957485906323,20.6769650271262,20.4332590356569,9.83000141462123,9.479273994525,0.04,0.61,-1.01,1.59,0.64,-0.02,11.6865127188533,12.8083940314738,12.2319557407256,12.3477689141798,9.88131681740885,9.18840765972388,87.4375
2004,2949779,3039240,-0.02987703,-0.03588598,247678.7,0.1751374,2.56445578128784,227018.1,11752.11,91283.969,13623.81,104196.4393,17.0006993779836,20.4034366049817,20.5613253190249,20.8973259754892,20.8877283938115,20.1957485906323,20.6769650271262,9.40257080390872,9.83000141462123,-0.13,0.04,0.61,-1.01,1.59,0.64,11.5081430808086,11.6865127188533,12.8083940314738,12.2319557407256,8.52485092201181,9.88131681740885,59.6271
2005,2163047,3040606,-0.3405391,-0.4090292,266665.3,0.1801409,2.16714081311739,247678.7,10190.81,91749.9425,11752.11,91283.969,16.2386619551633,19.4758332553893,20.4034366049817,20.110684544786,20.8973259754892,20.8877283938115,20.1957485906323,8.84075022096276,9.40257080390872,0.34,-0.13,0.04,0.61,-1.01,1.59,11.9364057729777,11.5081430808086,11.6865127188533,12.8083940314738,7.84087045562124,8.52485092201181,66.9271
