"year","recruits","R.no.devs","logR.dev","SR.std.resid","SSB","SPR","Rs","SSB_1","MackSSB","HadSSB_GOM","HadSSB_GB","MackSSB_1","HadSSB_GOM_1","HadSSB_GB_1","ChlA","PPD","Jelly.Abun","Krill.Abun","Sm.cal.abun","Sm.cal.abun_1","Lg.cal.abun","Lg.cal.abun_1","Cfin.C5","cfinC5_1","HW","NAOIndex","HW_1","NAOIndex_1","HW_2","NAOIndex_2","HW_3","NAOIndex_3","BT","OISST","BT_1","OISST_1","BT_2","OISST_2","BT_3","OISST_3","GSI","WSW","CP"
1992,3360277,3037982,0.1008297,0.1211089,322384.3,0.1911144,2.76876261715401,210822.4,177878,641.9385,16369.0877,245469,690.3803,21910.96211,NA,NA,17.5532864353653,16.876594241334,20.9773217940544,20.9703202713379,20.523781576302,19.5663169147753,7.70089886551334,7.86847042768456,NA,1.73,41.531423487539,0.54,66.3835361818441,1.92,9.34384598762096,2.44,8.61177398620412,10.2085619531324,9.49727662590288,11.1609607430991,9.15626532132134,11.1653760335927,8.6750364890005,10.8629091067078,0.281783735646069,68.8073,0.0847283289881986
1993,3367537,3044090,0.1009797,0.121289,368130.4,0.1853427,2.34619258342727,322384.3,158500,683.2602,14619.8401,177878,641.9385,16369.0877,NA,NA,17.2393874466561,17.0870980050381,20.6084535354744,20.9773217940544,20.4706939864701,20.523781576302,7.28968756413383,7.70089886551334,35.2508,1.74,NA,1.73,41.531423487539,0.54,66.3835361818441,1.92,8.46028839275946,10.5959114717402,8.61177398620412,10.2085619531324,9.49727662590288,11.1609607430991,9.15626532132134,11.1653760335927,0.561292689898386,60.8021,-0.455114050838038
1994,3707747,3045528,0.1967501,0.236321,315597.4,0.1637801,2.30974247027705,368130.4,122523,1140.249,19815.2663,158500,683.2602,14619.8401,NA,NA,17.2089837068049,16.8183289936226,20.6741716770901,20.6084535354744,21.0002457929961,20.4706939864701,8.80711596836864,7.28968756413383,42.5038381609926,0.86,35.2508,1.74,NA,1.73,41.531423487539,0.54,9.21444592687733,11.0191573633348,8.46028839275946,10.5959114717402,8.61177398620412,10.2085619531324,9.49727662590288,11.1609607430991,0.844028301952192,96.3333,-0.0060798619972308
1995,10606840,3043841,1.248378,1.499455,272148.6,0.1648042,3.51478700435197,315597.4,113974,2059.083,26026.506,122523,1140.249,19815.2663,NA,NA,17.2351398690834,16.3123754950648,20.3616956960576,20.6741716770901,20.5667851124451,21.0002457929961,8.64070517470767,8.80711596836864,56.2361839303337,1.29,42.5038381609926,0.86,35.2508,1.74,NA,1.73,9.47422753505341,11.0233146452035,9.21444592687733,11.0191573633348,8.46028839275946,10.5959114717402,8.61177398620412,10.2085619531324,1.09141060016577,78.9479,0.527291185895946
1996,4650978,3041957,0.4245765,0.5099683,246096.3,0.1629544,2.83848455840231,272148.6,104193,3350.583,34541.0538,113974,2059.083,26026.506,NA,NA,18.5537192749418,16.5653859322138,22.5025083491623,20.3616956960576,20.2486975423431,20.5667851124451,8.86957338978159,8.64070517470767,14.2512,-1.46,56.2361839303337,1.29,42.5038381609926,0.86,35.2508,1.74,8.21371886938576,10.1057479826449,9.47422753505341,11.0233146452035,9.21444592687733,11.0191573633348,8.46028839275946,10.5959114717402,-0.447046962097999,82.276,-1.13341616822352
1997,4515168,3040509,0.3954175,0.4749448,500177,0.1960076,2.90947475171598,246096.3,100988,5060.443,42032.376,104193,3350.583,34541.0538,NA,NA,17.2281859620348,16.6543113487434,20.7366623907045,22.5025083491623,19.9479461270984,20.2486975423431,8.63895835330365,8.86957338978159,NA,0.7,14.2512,-1.46,56.2361839303337,1.29,42.5038381609926,0.86,9.19581400703658,10.6702988136156,8.21371886938576,10.1057479826449,9.47422753505341,11.0233146452035,9.21444592687733,11.0191573633348,-0.380998800089314,74.5573,0.111095658469298
1998,2864188,3048207,-0.06226842,-0.07479199,380281.2,0.1621234,1.74507813260529,500177,97210,6276.363,48725.0715,100988,5060.443,42032.376,0.749841982143686,0.551073992322862,18.707972979387,16.3202928903895,21.0725100906475,20.7366623907045,20.2824277079215,19.9479461270984,7.36014586008643,8.63895835330365,NA,-0.02,NA,0.7,14.2512,-1.46,56.2361839303337,1.29,8.32842503945286,10.697314130164,9.19581400703658,10.6702988136156,8.21371886938576,10.1057479826449,9.47422753505341,11.0233146452035,-0.253777622455349,34.1354,-0.560613519453892
1999,7535893,3045852,0.9058968,1.088093,304477.3,0.1478445,2.98652163858617,380281.2,82218,6461.374,56610.461,97210,6276.363,48725.0715,0.800982128420313,0.61246201905164,17.735505522903,16.0844430106495,20.5342380324997,21.0725100906475,20.3368782162422,20.2824277079215,9.54404372210106,7.36014586008643,112.524499996802,0.64,NA,-0.02,NA,0.7,14.2512,-1.46,9.78190270557371,11.6672684488487,8.32842503945286,10.697314130164,9.19581400703658,10.6702988136156,8.21371886938576,10.1057479826449,1.122426496506,86.5469,1.83844426450241
2000,2209808,3043410,-0.3200731,-0.3844469,323453.3,0.1759988,1.98206437697863,304477.3,181497,7914.234,69103.3678,82218,6461.374,56610.461,0.839022717148749,0.616117635962955,18.9844977802568,17.0937828741346,20.9501567888265,20.5342380324997,20.4332590356569,20.3368782162422,7.82952137572693,9.54404372210106,59.4347906135567,1.59,112.524499996802,0.64,NA,-0.02,NA,0.7,9.49168555859137,11.4146043780836,9.78190270557371,11.6672684488487,8.32842503945286,10.697314130164,9.19581400703658,10.6702988136156,0.813799060333128,65.9896,1.21745152790169
2001,2103963,3044128,-0.3693919,-0.4436849,375948.2,0.1748467,1.87252324320944,323453.3,268593,13056.85,81182.633,181497,7914.234,69103.3678,0.816629403874618,0.614814572588361,16.3735339975637,16.7170614815175,20.8017991395078,20.9501567888265,20.6769650271262,20.4332590356569,9.94571655226646,7.82952137572693,47.6575540816663,-1.01,59.4347906135567,1.59,112.524499996802,0.64,NA,-0.02,9.18840765972388,11.2091537525944,9.49168555859137,11.4146043780836,9.78190270557371,11.6672684488487,8.32842503945286,10.697314130164,0.304229918368533,68.967,0.878818679742152
